exp_name,cell_label,cell_id,group_id,block_id,start_time,recording_technique,sample_rate,n_epochs_sampled,raw_mean,between_epoch_mean_sd,log_sd,log_mad,log_iqr,log_range_99,log_abs_q999,log_diff_sd,log_diff_q99,log_diff_q999,log_ddiff_sd,crest_factor,diff_crest_factor,skew,kurtosis,power_1_50,power_50_200,power_200_1000,power_1000_4500,spectral_centroid_hz,lag1_corr,target,oof_p_whole_cell,oof_prediction,oof_disagrees
2020-06-11_B,Cell10,2832,6810,30238,2020-06-11 19:50:12,whole-cell,10000.0,6,-4621.724039583334,196.84285553343665,2.523962178379455,2.103376055257288,2.406540180433955,3.270387656461051,3.1868153009898887,0.8912750323740396,1.3640817414110702,1.5740312677277188,0.7608687248580506,4.601009421909881,4.8167736160792325,-1.7232994137928093,3.6362970009269056,0.9748181778706448,0.0213565900736731,0.0036201003836732,0.0002051316720092,15.255695866430724,0.9996699429397506,whole-cell,0.9894071282931833,whole-cell,False
2020-06-11_B,Cell11,2830,6804,30209,2020-06-11 20:32:43,whole-cell,10000.0,2,-833.51645125,58.14510375000003,2.207044825595127,1.8625785677670703,2.16546690808042,2.988782400526759,2.95097308564896,0.9188273001557332,1.4529358702011792,1.6309399286481974,0.8358931322890192,5.545341033834752,5.153622795993816,-1.76668146123146,5.056782963212704,0.9497737492808688,0.0338824958301109,0.0145966186524296,0.0017471362365904,22.972828906108443,0.9985087577167148,whole-cell,0.9855945912951076,whole-cell,False
2020-06-11_B,Cell11,2830,6804,30210,2020-06-11 20:37:15,whole-cell,10000.0,6,-2236.2137177083337,161.30371860323578,2.209438641968965,1.7804073306878678,2.0859146287065933,3.0134955460104056,2.974569257119665,0.9318104682788204,1.4442400283250068,1.615423952885944,0.8235611937281538,5.822783130971048,4.826290784058988,-1.4744314705974213,5.244754324742772,0.942753519317042,0.0387595505737849,0.0167355551310792,0.0017513749780937,24.712849816253424,0.9985913097966912,whole-cell,0.9629600345302973,whole-cell,False
2020-06-11_B,Cell12,2828,6801,30188,2020-06-11 21:06:33,cell-attached,10000.0,6,-11.5606115,15.155193896118412,0.6783595193851949,0.4519782193569066,0.7539658658651602,1.4635206569645776,1.4187156003676034,0.4388343664076433,0.937665181130736,1.3839298691350566,0.5568153272112584,5.499916309002137,8.812426397403808,0.495783382739196,3.2036572728582517,0.2886359971630127,0.0832572174874507,0.2788139306941142,0.3492928546554222,824.5886653514247,0.8340521814231796,cell-attached,0.010398369084395714,cell-attached,False
2020-06-11_B,Cell13,2825,6797,30174,2020-06-11 21:31:29,cell-attached,10000.0,6,-58.49147789583333,6.696475931439503,0.7012614853609637,0.337459261290657,0.6391127954420849,1.6476894479333144,1.5584837169521302,0.5686433879811049,1.3093639740483325,1.4617442860694467,0.6455032113775356,7.198172193969354,7.818094184850223,2.0518041307969783,13.999087915939096,0.0806835553859645,0.042429992677474,0.3707487217580271,0.5061377301785343,1116.206751857521,0.728513639568862,cell-attached,0.0009238578680203045,cell-attached,False
2020-06-11_B,Cell13,2825,6798,30177,2020-06-11 21:53:41,whole-cell,10000.0,6,-13548.7634375,1502.6333423572903,2.344124451462368,1.926213785839081,2.228849308218481,3.1977972678616498,3.04581177397827,0.8412635106916461,1.3399480616943509,1.5201558869448644,0.8184533222105502,5.031382356738078,4.774109504362061,-0.6717004233140866,3.781902313960817,0.979240484367112,0.0149434600447605,0.0052015918247059,0.0006144637634216,15.196192018562844,0.999475176913704,whole-cell,0.7262307004346864,whole-cell,False
2020-06-11_B,Cell14,2831,6805,30216,2020-06-11 22:16:24,cell-attached,10000.0,6,-160.26941937499998,44.051572630490426,1.1042047162798023,0.7799570512469064,1.091666957595684,2.0057707217280765,1.914475779183617,0.8628723209286103,1.6233785254775337,1.7916041673973342,0.9185173967393552,6.460573369386091,8.486563135112581,1.4697454595324309,8.059461010875857,0.2183819160487901,0.0484124397603341,0.3635821970608139,0.3696234471300618,841.234760811792,0.8354261831200839,cell-attached,0.0,cell-attached,False
2020-06-11_B,Cell14,2831,6806,30218,2020-06-11 22:36:30,cell-attached,10000.0,6,-1964.02548125,294.6446992218512,2.867521486027543,2.392477112970536,2.694605198933569,3.649517703472952,3.68914235876134,1.294675701676994,1.7781512503836436,1.980591317389284,1.032107332987718,6.631638936004732,4.851942167945438,-2.449872070612654,8.403880518603664,0.971531627273906,0.0217935241839343,0.0064388062933334,0.0002360422488263,16.66550177990746,0.99962762442971,cell-attached,0.7947824051152825,whole-cell,True
2020-06-16_B,Cell3,2841,6823,30318,2020-06-16 13:30:35,cell-attached,10000.0,6,74.41822395833334,32.99830004168794,1.0946096854533476,0.6697816152085363,0.9719712763997568,1.9953066077050703,1.984246224868232,0.8339879181029615,1.551754873016567,1.8837328891678595,0.8906306987067574,7.755977480169612,11.213597695076029,1.5744240245048142,12.442995063823442,0.1996804461227863,0.0765181343600225,0.3583800741994842,0.3654213453177067,830.0957429242505,0.8494124825929945,cell-attached,0.0,cell-attached,False
2020-06-16_B,Cell3,2841,6823,30319,2020-06-16 13:41:48,cell-attached,10000.0,6,42.90820879166666,6.424352861777392,0.8887627022599259,0.4107772333772091,0.7118072290411909,1.882027988797534,1.8245733676965468,0.7073423458825944,1.4789270555829248,1.7208832476442202,0.7625063525488103,8.626024065482813,10.316702373470754,2.595570374940148,23.42304886609485,0.1121971950911335,0.047976322484316,0.4031985705476351,0.4366279118769153,981.2161504587244,0.7831378548086795,cell-attached,0.0,cell-attached,False
2020-06-16_B,Cell3,2841,6824,30325,2020-06-16 14:07:40,whole-cell,10000.0,4,-632.694903125,175.37661410598292,2.573537598021403,2.264965316467196,2.588796745570677,3.3388920637211106,3.3292710750861745,1.1552826443553137,1.644069134335474,1.848958460827495,0.922512241715668,5.698144745227506,4.939418414344362,-1.6543639014740783,7.687063109836234,0.9387578117687498,0.0480820431284286,0.0126307900759214,0.0005293550269001,24.640307882233103,0.9991932400753027,whole-cell,0.9886285001273967,whole-cell,False
2020-06-16_B,Cell3,2841,6824,30326,2020-06-16 14:10:08,whole-cell,10000.0,6,-880.0315479166666,101.79502003434764,2.5442429315106296,2.196418006736021,2.5185139398778875,3.3168224936752404,3.2935697068651004,1.0073525028972377,1.494850021680094,1.6962471460005455,0.7855797240694029,5.614702831305533,4.885338299714258,-1.789649947262596,5.112323994941658,0.9508470421241236,0.0423057989371056,0.0065770279373676,0.0002701310014031,21.690294036198782,0.9995573720191682,whole-cell,0.9900504572909865,whole-cell,False
2020-06-16_B,Cell3,2841,6824,30331,2020-06-16 14:23:46,whole-cell,10000.0,6,-727.48480875,166.04902896569345,2.5149423110809304,2.1250744324325264,2.4536049715491832,3.2692793897718984,3.23776375133114,0.9088842248260308,1.4065401804339552,1.57979359670354,0.6615884504205778,5.282280266878065,4.687155608614157,-1.396397712879306,3.8823592687227775,0.960664673756384,0.0348127837669144,0.0043593419816217,0.0001632004950799,20.8107245337965,0.9996841059355022,whole-cell,0.9939075259697215,whole-cell,False
2020-06-16_B,Cell3,2841,6824,30332,2020-06-16 14:29:11,whole-cell,10000.0,6,-846.1981116666667,159.2430160894742,2.5252158381660763,2.1698947576359866,2.497663800904767,3.26673163561002,3.271899779521371,0.934395099967229,1.414973347970818,1.6007006960652377,0.6880404367781435,5.580639148316426,4.637731440306297,-1.376703474211488,3.960424142924096,0.96118783097409,0.0340006507638897,0.0046352458594797,0.00017627240254,20.77242826149485,0.9996500238522966,whole-cell,0.9931732602354558,whole-cell,False
2020-06-16_B,Cell3,2841,6824,30333,2020-06-16 14:37:31,whole-cell,10000.0,6,-656.1623129166666,100.44222746901625,2.325139237765061,1.8195439355418688,2.145351816558461,3.1360468090996423,3.2322655768178565,0.7854491838496519,1.3037358890399062,1.5378190950732742,0.6116431190044236,8.074698942613558,5.654183660334723,-3.2863985590686027,20.70347408229704,0.9595507704693828,0.0315456246795726,0.0085701773515911,0.0003334274994534,18.558478113516028,0.9995581357664108,whole-cell,0.9967938949186955,whole-cell,False
