cache_version,exp_name,block_id,n_epochs,recording_order,recording_family,recording_family_source,rec_type,rec_note,online_analysis_recorded,recording_technique,series_resistance_mohm,series_resistance_source,mean_current_pa,classifier_p_whole_cell,classifier_confidence,classifier_prediction,classifier_family,classifier_source,classifier_model_version,classifier_min_confidence
8,2020-07-14_G,10099,5,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,24.662681125,0.08831386345505997,0.91168613654494,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-14_G,10100,2,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-41.894608000000005,0.0006006600660066006,0.9993993399339934,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-14_G,10101,5,2,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-21.52156625,0.06615536489307793,0.9338446351069221,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-14_G,10072,7,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,-343.13133166666665,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-14_G,10074,10,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,408.7362570833333,0.010177108605680035,0.98982289139432,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-14_G,10078,2,1,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-577),,whole-cell,,unavailable,-576.5131375,0.987476340911605,0.987476340911605,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-07-14_G,10080,6,2,whole-cell,recordingTechnique,exc,recordingTechnique is whole-cell; polarity from mean current (-515),,whole-cell,,unavailable,-514.5149862499999,0.9883075495932638,0.9883075495932638,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-07-29_G,10123,8,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,55.319495874999994,0.06885711757396717,0.9311428824260328,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10114,4,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,3.5046764999999995,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-07-29_G,10117,8,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,,unavailable,98.57516489583334,0.0028128250591016543,0.9971871749408984,cell-attached,cell-attached,cell-held-out prediction,1,0.9
