exp_name,block_id,n_epochs,recordingTechnique,series_resistance,mean_current_pa,rec_type,rec_note
2020-08-11_G,10168,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-11_G,10171,15,whole-cell,,-2601.7096525694446,none,
2020-08-11_G,10179,8,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-13_G,10193,12,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-13_G,10194,2,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-13_G,10195,12,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-13_G,10196,3,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-13_G,10199,2,whole-cell,,-2196.1216041666667,none,
2020-08-13_G,10200,2,whole-cell,,-2066.2154651041665,none,
2020-08-13_G,10201,7,whole-cell,,-2233.9945950892857,none,
2020-08-13_G,10191,3,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-18_G,10206,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-18_G,10208,4,whole-cell,,-591.2790703125,none,
2020-08-18_G,10204,4,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G,10273,9,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G,10275,12,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G,10267,6,nan,,232.8106343936012,none,
2020-08-25_G,10262,6,nan,,305.27807695075757,none,
2020-08-25_G,10263,8,nan,,213.35361038352272,none,
2020-08-25_G,10270,6,nan,,236.98918463541668,none,
2020-08-25_G,10260,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G,10256,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G_scotopic,10252,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G_scotopic,10246,14,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G_scotopic,10248,8,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-08-25_G_scotopic,10249,7,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-10-20_G,10544,11,whole-cell,,-1144.4554971212121,none,
2020-10-20_G,10545,5,whole-cell,,1116.5087615,none,
2020-10-20_G,10550,12,whole-cell,,830.5571079861111,none,
2020-10-20_G,10552,11,whole-cell,,-123.11172727272728,none,
2020-10-20_G,10553,11,whole-cell,,1094.6704248106062,none,
2020-10-20_G,10557,6,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10940,12,nan,,171.87898399305558,none,
2020-12-03_G,10948,8,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10949,4,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10942,12,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10944,12,whole-cell,,-948.4272474392361,none,
2020-12-03_G,10945,2,whole-cell,,1902.16428203125,none,
2020-12-03_G,10946,8,whole-cell,,1738.3131822265625,none,
2020-12-03_G,10930,11,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10931,2,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10934,6,whole-cell,,-863.3374133680555,none,
2020-12-03_G,10936,12,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-03_G,10937,2,cell-attached,,,extracellular,epoch-group recordingTechnique is cell-attached
2020-12-08_F,10967,2,whole-cell,19881199.272857618,735.9356908854166,inh,"'none' resolved to 'inh': series resistance is 19.9 MOhm, so whole-cell; polarity from the sign of the current"
2020-12-08_F,10969,1,whole-cell,24385648.111800265,-69.4398546875,exc,"'none' resolved to 'exc': series resistance is 24.4 MOhm, so whole-cell; polarity from the sign of the current"
2021-02-01_B,11401,12,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-02-01_B,11402,50,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-02-01_B,11392,31,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-03-02_B,11537,9,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-03-02_B,11548,10,whole-cell,16334934.797529168,-453.8920388541667,exc,"'none' resolved to 'exc': series resistance is 16.3 MOhm, so whole-cell; polarity from the sign of the current"
2021-03-02_B,11528,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-03-02_B,11562,9,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-04-27_B,12017,12,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-04-27_B,12018,4,cell-attached,6556751.716538103,-1375.871075,exc,"'none' resolved to 'exc': series resistance is 6.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-04-27_B,12019,7,cell-attached,6556751.716538103,-2898.297827380952,exc,"'none' resolved to 'exc': series resistance is 6.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-04-27_B,12005,12,nan,0.0,-11.974508962499998,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12013,12,nan,0.0,-164.69269736249996,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12009,12,nan,0.0,-51.176513692708376,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12011,11,nan,9042553.19148936,-2168.9514218181816,exc,"'none' resolved to 'exc': series resistance is 9.0 MOhm, so whole-cell; polarity from the sign of the current"
2021-04-27_B,12021,7,nan,0.0,28.908819607142828,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12024,7,nan,0.0,-238.43254641071428,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12026,12,nan,0.0,-44.78410497552081,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-04-27_B,12015,7,nan,0.0,-300.73065782142857,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-05-05_B,12034,10,whole-cell,2892345.6605466856,-2922.7908464375,exc,"'none' resolved to 'exc': series resistance is 2.9 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-05_B,12031,13,whole-cell,0.0,-1219.4176697596154,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-05-25_B,12260,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12261,5,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12262,10,whole-cell,4330907.054871221,-4966.291271875,exc,"'none' resolved to 'exc': series resistance is 4.3 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-25_B,12265,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12249,9,whole-cell,5175297.738525358,-5159.307402222223,exc,"'none' resolved to 'exc': series resistance is 5.2 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-25_B,12247,12,whole-cell,15748752.92680444,-1858.1909916666666,exc,"'none' resolved to 'exc': series resistance is 15.7 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-25_B,12248,3,whole-cell,15748752.92680444,-2424.101695,exc,"'none' resolved to 'exc': series resistance is 15.7 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-25_B,12243,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12253,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12252,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12256,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12258,6,whole-cell,7249976.567625833,-611.1301005208334,exc,"'none' resolved to 'exc': series resistance is 7.2 MOhm, so whole-cell; polarity from the sign of the current"
2021-05-25_B,12245,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-05-25_B,12254,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-06-22_B,12536,12,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-06-22_B,12503,2,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-06-22_B,12513,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-06-22_B,12499,10,nan,0.0,95.26475959249996,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-06-22_B,12519,10,nan,0.0,16.286679244999995,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-06-22_B,12527,12,nan,8968635.862948578,-236.18229601041668,exc,"'none' resolved to 'exc': series resistance is 9.0 MOhm, so whole-cell; polarity from the sign of the current"
2021-07-13_B,12619,6,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-07-19_B,12689,14,nan,0.0,-605.2774101041666,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-07-19_B,12690,12,nan,0.0,-539.22366796875,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-07-19_B,12684,14,nan,0.0,-85.63428038690476,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-07-19_B,12685,13,nan,0.0,-132.61521736378205,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-07-27_B,12699,15,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-07-27_B,12716,2,nan,0.0,-109.22684799999998,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-07-27_B,12721,14,nan,0.0,685.6263262276785,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-07-27_B,12722,5,nan,0.0,589.7726305208333,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-08-18_B,12748,18,nan,0.0,23.35856522685187,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-08-18_B,12753,12,nan,0.0,-139.1741021371526,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-08-18_B,12726,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-18_B,12757,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-18_B,12758,3,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-18_B,12743,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-18_B,12736,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-19_B,12777,6,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-19_B,12778,3,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-08-19_B,12771,9,nan,12467762.733720182,-684.2700911921296,exc,"'none' resolved to 'exc': series resistance is 12.5 MOhm, so whole-cell; polarity from the sign of the current"
2021-08-19_B,12763,10,nan,0.0,-156.13481378333339,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-09-07_B,12789,12,nan,0.0,-127.26828805555556,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-09-07_B,12791,12,nan,0.0,-100.83337185503464,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-09-07_B,12796,4,nan,0.0,-200.17887796875,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-09-21_B,12869,14,whole-cell,10686653.771760156,-791.8952333779762,exc,"'none' resolved to 'exc': series resistance is 10.7 MOhm, so whole-cell; polarity from the sign of the current"
2021-09-21_B,12880,12,whole-cell,6517800.7162418375,-757.3001583333333,exc,"'none' resolved to 'exc': series resistance is 6.5 MOhm, so whole-cell; polarity from the sign of the current"
2021-09-23_B,12906,10,whole-cell,0.0,-839.7542807125,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-09-28_B,12910,10,whole-cell,0.0,-2620.8245321875,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-09-28_B,12930,14,nan,0.0,-996.2187619285714,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-09-28_B,12931,9,nan,0.0,-1046.9186651944444,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-10-07_B,12935,12,nan,9854758.567970444,-282.75051176041666,exc,"'none' resolved to 'exc': series resistance is 9.9 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-07_B,12937,12,nan,0.0,-522.7589784166667,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-10-14_B,12949,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12950,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12951,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12952,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12953,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12954,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12956,1,whole-cell,11630704.458311403,-635.8931784027777,exc,"'none' resolved to 'exc': series resistance is 11.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12957,1,whole-cell,11630704.458311403,260.7844734027778,inh,"'none' resolved to 'inh': series resistance is 11.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12958,1,whole-cell,11630704.458311403,-581.7620455555556,exc,"'none' resolved to 'exc': series resistance is 11.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12959,1,whole-cell,11630704.458311403,151.3932802777778,inh,"'none' resolved to 'inh': series resistance is 11.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12965,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12966,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12967,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12945,1,whole-cell,7601592.059358263,-807.27750875,exc,"'none' resolved to 'exc': series resistance is 7.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12946,1,whole-cell,7601592.059358263,-2007.0272720833334,exc,"'none' resolved to 'exc': series resistance is 7.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12947,1,whole-cell,7601592.059358263,35.85326888888889,inh,"'none' resolved to 'inh': series resistance is 7.6 MOhm, so whole-cell; polarity from the sign of the current"
2021-10-14_B,12963,1,whole-cell,0.0,-863.1213313888888,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-10-14_B,12964,1,whole-cell,0.0,235.45271569444444,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-10-14_B,12968,1,whole-cell,0.0,-665.0173622916667,exc,"'none' resolved to 'exc': the trace has no spikes, so whole-cell with the series resistance never set; polarity from the sign of the current"
2021-10-14_B,12969,1,whole-cell,0.0,233.01030305555557,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2021-10-14_B,12960,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12961,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2021-10-14_B,12962,1,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-04-06_B,4686,10,nan,13272134.52299245,-4177.598538854167,exc,"'none' resolved to 'exc': series resistance is 13.3 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-10_B,4734,9,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-10_B,4730,13,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-10_B,4732,7,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-10_B,4722,10,whole-cell,11549085.479656588,-2983.404444625,exc,"'none' resolved to 'exc': series resistance is 11.5 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-10_B,4723,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-10_B,4724,10,whole-cell,6636067.261496225,-2481.6671336875,exc,"'none' resolved to 'exc': series resistance is 6.6 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-10_B,4728,13,whole-cell,6269503.54609929,-888.4488636057692,exc,"'none' resolved to 'exc': series resistance is 6.3 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-10_B,4736,7,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-10_B,4720,7,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4781,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4784,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4794,10,nan,0.0,-37.3179974,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2022-05-18_B,4795,12,nan,12374020.156774918,-1256.0599557291666,exc,"'none' resolved to 'exc': series resistance is 12.4 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-18_B,4782,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4786,9,nan,0.0,-148.14691302083332,extracellular,'none' resolved to 'extracellular': series resistance is 0 and the trace contains spikes
2022-05-18_B,4788,9,nan,7429998.559147014,-1200.4828906944444,exc,"'none' resolved to 'exc': series resistance is 7.4 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-18_B,4789,7,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4791,11,whole-cell,7218178.424785369,-1797.6085146590908,exc,"'none' resolved to 'exc': series resistance is 7.2 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-18_B,4796,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-18_B,4793,9,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-31_B,4800,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-31_B,4801,27,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-31_B,4803,24,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2022-05-31_B,4805,12,whole-cell,8895917.193789534,-753.1036233506944,exc,"'none' resolved to 'exc': series resistance is 8.9 MOhm, so whole-cell; polarity from the sign of the current"
2022-05-31_B,4806,4,whole-cell,8895917.193789534,-663.90460546875,exc,"'none' resolved to 'exc': series resistance is 8.9 MOhm, so whole-cell; polarity from the sign of the current"
